,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3500': 0, 'b1681': 0, 'b1232': 0.03125, 'b3857': 0.03125, 'b3908': 0, 'b2719': 0, 'b2538': 0, 'b2129': 0, 'b0131': 0.125}",23,0.0,0.5496129048855615,2.4347826086956523
1,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b0679': 0, 'b1613': 0, 'b1393': 0, 'b3908': 0, 'b2719': 0, 'b3893': 0, 'b1832': 0, 'b2979': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0}",28,0.0,0.008635530464261522,3.2142857142857144
2,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b3500': 0, 'b1613': 0, 'b3908': 0, 'b2719': 0, 'b1393': 0, 'b3893': 0, 'b1832': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0, 'b0131': 0.125}",28,0.0,0.5496129045297942,3.107142857142857
3,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b3500': 0, 'b3908': 0, 'b2719': 0, 'b1393': 0, 'b3893': 0, 'b3727': 0.125, 'b1832': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0, 'b0131': 0.125}",28,0.0,0.5496129045334371,3.0
4,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b3500': 0, 'b3857': 0.03125, 'b1613': 0, 'b3908': 0, 'b2719': 0, 'b1393': 0, 'b3893': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0, 'b0131': 0.125}",28,0.0,0.5496129045334371,3.0
5,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b1613': 0, 'b1393': 0, 'b3908': 0, 'b2719': 0, 'b3893': 0, 'b1832': 0, 'b2979': 0, 'b2923': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0}",28,0.0,0.008635530464261522,3.2142857142857144
6,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b0679': 0, 'b1613': 0, 'b1393': 0, 'b3908': 0, 'b2719': 0, 'b3893': 0, 'b1832': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0, 'b0131': 0.125}",28,0.0,0.5496129045297942,3.107142857142857
7,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3063': 0, 'b1613': 0, 'b1393': 0, 'b3908': 0, 'b2719': 0, 'b3893': 0, 'b1832': 0, 'b2923': 0, 'b4169': 0, 'b0932': 0, 'b2538': 0, 'b0759': 0, 'b1301': 0, 'b0131': 0.125}",28,0.0,0.5496129045297942,3.107142857142857
